Data Set 1:Time(s),NWAWB5,NWAWB4,NWAWB3,NSASB4,NWASB3,NWASB2,ASAWB1,NSASB3,NWAWB2,NWAWB1,AhSAWB1,NSASB1,NSASB2,AWASB1
73.5,4.347205162,4.610862732,4.687734604,11.79570198,12.44169807,8.724865913,4.325634,1.885642529,9.458064079,4.357438087,1.72,,4.559244156,5.019225121
74,4.355296612,4.622325897,4.694478035,11.81323433,12.44911575,8.959527969,4.447797,1.885642529,9.46407795,4.36011076,1.79,,4.672843933,5.048597813
74.5,4.364062786,4.635138035,4.700546741,11.83481216,12.45585823,9.19688797,4.559946,1.884974003,9.465414047,4.361447334,1.78,,4.808495522,5.043924809
75,4.371480465,4.645253181,4.705266953,11.8590889,12.45922947,9.472008705,4.668758,1.884305954,9.470760345,4.362783432,1.78,,4.960184574,5.069292068
75.5,4.378223419,4.651995659,4.709312916,11.87662125,12.46260166,9.737014771,4.770894,1.884974003,9.472097397,4.364120483,1.79,,5.117219448,5.081975937
76,4.384292603,4.656716347,4.714707375,11.89617538,12.4673214,9.986512184,4.87036,1.884974003,9.475438118,4.364788532,1.83,,5.303656578,5.10734272
76.5,4.389687061,4.662785053,4.71807909,11.91707993,12.4673214,10.1854353,4.966488,1.885642529,9.482120514,4.367461205,1.84,,5.489425659,5.140053272
77,4.39508152,4.666831017,4.71807909,11.92921734,12.47069359,10.37626648,5.061949,1.886978626,9.488134384,4.3741436,1.84,,5.685885906,5.164085388
77.5,4.397778511,4.671551228,4.724822044,11.94472694,12.47406483,10.55900669,5.163418,1.885642529,9.504840851,4.375480652,1.86,,5.903730392,5.188117027
78,4.399127483,4.676271439,4.729542732,11.9575386,12.48013401,10.71949387,5.267556,1.888983727,9.512859344,4.378153324,1.88,,6.138279915,5.20213604
78.5,4.401824951,4.685711861,4.735610962,11.96428204,12.4841795,10.84693909,5.361014,1.889652252,9.517536163,4.378153324,1.92,,6.378175735,5.214151859
79,4.40519619,4.695152283,4.739657402,11.96630478,12.48957443,10.95213318,5.45781,1.890987873,9.521546364,4.380157471,1.99,,6.626758575,5.253537655
79.5,4.409242153,4.705266953,4.745725632,11.97237396,12.49699211,11.04114246,5.55327,1.894997597,9.523550987,4.383499146,1.98,,6.886033535,5.274231911
80,4.410591125,4.71605587,4.749772072,11.98114014,12.50508308,11.12678146,5.640053,1.897001743,9.536915779,4.385503769,2.00,,7.161345482,5.303604603
80.5,4.416659832,4.72819376,4.772698402,11.98788261,12.51856995,11.20837307,5.727503,1.901679993,9.538251877,4.391517639,2.02,,7.450690746,5.320293427
81,4.420031548,4.730891228,4.759212494,11.99327755,12.52126694,11.27985001,5.816956,1.907026291,9.546938896,4.394190788,2.10,,7.732685089,5.348330498
81.5,4.423402786,4.737634182,4.7652812,11.99799728,12.52463913,11.34188843,5.903738,1.911034584,9.54627037,4.395527363,2.07,,7.991291523,5.379705906
82,4.428797722,4.744377136,4.774721622,12.00069523,12.52733612,11.39448452,5.987183,1.915712833,9.553621292,4.396863937,2.10,,8.215818405,5.41308403
82.5,4.432168961,4.75044632,4.779441833,12.00339127,12.5340786,11.43089771,6.07263,1.917717934,9.556962967,4.398200035,2.12,,8.418960571,5.441788673
83,4.438911915,4.754491806,4.78753376,12.00474072,12.53745079,11.47337914,6.15741,1.91972208,9.559635162,4.402209282,2.14,,8.611412048,5.467155933
83.5,4.444306374,4.760560989,4.792928219,12.00676346,12.52531242,11.52732468,6.235514,1.925067902,9.562976837,4.404882431,2.21,,8.799185753,5.509212017
84,4.471279144,4.76730442,4.795625687,12.00676346,12.54486847,11.61363792,6.316288,1.928408623,9.565649033,4.40755558,2.33,,8.990968704,5.547262669
84.5,4.492856979,4.77337265,4.798996925,12.00811195,12.5495882,11.68511391,6.4004,1.931749821,9.569659233,4.410228729,2.29,,9.184756279,5.61068058
85,4.504321098,4.779441833,4.802368641,12.0101347,12.55430794,11.73299217,6.483177,1.934423447,9.572999954,4.414237976,2.32,,9.388567924,5.67009306
85.5,4.52185297,4.78753376,4.803042889,12.01822662,12.56105137,11.76131248,6.568624,1.93642807,9.583691597,4.416242599,2.39,,9.591042519,5.763551235
86,4.538710594,4.794276714,4.798996925,12.03103924,12.56442261,11.790308,6.646061,1.937764645,9.596387863,4.417579174,2.57,,9.786834717,5.853003502
86.5,4.552197456,4.801019669,4.815855026,12.03373623,12.56712055,11.81256008,6.72283,1.939100742,9.600398064,4.418915749,2.53,,9.978617668,5.949799538
87,4.566358089,4.804391861,4.839456081,12.03980446,12.57049179,11.83751011,6.800934,1.939100742,9.601065636,4.418915749,2.52,,10.15369511,6.053270817
87.5,4.573775291,4.807088852,4.856313705,12.04654789,12.57386398,11.86380863,6.872363,1.941105843,9.606411934,4.424929619,2.70,,10.31206608,6.143390656
88,4.577147007,4.815855026,4.866428375,12.05126762,12.57790947,11.88066673,6.945794,1.943778515,9.615766525,4.42827034,2.67,,10.45373154,6.238851547
88.5,4.573775291,4.818552017,4.877892017,12.06542969,12.57925797,11.90022087,7.013885,1.951129436,9.613761902,4.436957359,2.81,,10.5860424,6.330974102
89,4.587261677,4.821249485,4.890704155,12.07419586,12.59072113,11.91640472,7.082643,1.963825226,9.607748032,4.444308281,3.11,,10.7016468,6.431775093
89.5,4.610188484,4.82259798,4.90216732,12.08161259,12.59544182,11.9251709,7.148064,1.989886761,9.611757278,4.447649479,3.33,,10.79920864,6.513216972
90,4.642555237,4.825295448,4.911607742,12.08565903,12.6021843,11.94000626,7.208811,1.999910355,9.617772102,4.450990677,3.49,,10.88541031,6.609345436
90.5,4.652670383,4.827318192,4.920373917,12.09172821,12.60758018,11.95146942,7.269559,2.012606621,9.621781349,4.457004547,3.77,,10.95691109,6.69546032
91,4.668179512,4.832038403,4.923070908,12.09375,12.61229992,11.96563053,7.320293,2.018621445,9.625790596,4.463686943,4.24,,11.01905727,6.780907631
91.5,4.689757824,4.83473587,4.925094128,12.0944252,12.61364746,11.97237396,7.37303,2.028644562,9.627126694,4.46970129,4.77,,11.07786179,6.869692326
92,4.705266953,4.837432861,4.93453455,12.0957737,12.61701965,11.98383713,7.426435,2.033989906,9.633140564,4.473710537,5.27,,11.1299839,6.981842041
92.5,4.727519512,4.838781357,4.948695183,12.09779644,12.61904335,11.99799728,7.473164,2.037331104,9.635146141,4.479724884,5.86,,11.1774292,7.092656612
93,4.749097824,4.845524788,4.956787109,12.11060905,12.62174034,12.00608921,7.521228,2.041340828,9.636482239,4.486406803,6.22,,11.22086334,7.193457603
93.5,4.772698402,4.848221779,4.965553284,12.12679195,12.62443733,12.0263195,7.567289,2.060719013,9.63781929,4.491084576,6.58,,11.25962162,7.295593739
94,4.792928219,4.850919724,4.972970486,12.13690662,12.62848282,12.04115391,7.60801,2.078093052,9.639155388,4.49242115,6.99,,11.2957058,7.40307045
94.5,4.823272228,4.848896503,4.977690697,12.14027786,12.6359005,12.05059433,7.655407,2.085443974,9.639823914,4.494425774,7.42,,11.3297863,7.502536297
95,4.856313705,4.84485054,4.978364944,12.14702129,12.63724899,12.07352066,7.701468,2.095467091,9.642496109,4.496430397,7.65,,11.3611927,7.613350868
95.5,4.884634972,4.842827797,4.978364944,12.15106773,12.64534092,12.08700752,7.74753,2.094799995,9.64383316,4.500439644,7.76,,11.39126396,7.722162247
96,4.902841568,4.84485054,4.987805367,12.15781021,12.6514101,12.09375,7.794259,2.102818012,9.645169258,4.502444267,7.85,,11.41932964,7.828971386
96.5,4.920373917,4.850244999,4.994548798,12.16185665,12.6527586,12.09847069,7.843657,2.118855953,9.647842407,4.504449368,7.92,,11.44472313,7.942456245
97,4.94464922,4.849570751,5.001966,12.17197037,12.65478134,12.11060905,7.893057,2.124869823,9.653856277,4.507790565,7.97,,11.47011471,8.045927048
97.5,4.966227531,4.852942467,5.009383678,12.17669106,12.65545654,12.12207222,7.943124,2.160954952,9.65853405,4.511131287,8.02,,11.49417114,8.14806366
98,4.987805367,4.854290962,5.018149853,12.17938805,12.65680408,12.13286114,7.99052,2.211071491,9.663879395,4.511799812,8.06,,11.51756001,8.248864174
98.5,4.999943256,4.855639458,5.01680088,12.18141174,12.65882778,12.13690662,8.034578,2.275890827,9.666552544,4.512468338,8.13,,11.53894424,8.34232235
99,5.018149853,4.858336449,5.022195816,12.18208504,12.65410805,12.14027786,8.076635,2.341377735,9.668558121,4.514472961,8.17,,11.55965805,8.442456245
99.5,5.024892807,4.860359669,5.03096199,12.18208504,12.6689415,12.14971924,8.115354,2.420228958,9.677244186,4.51514101,8.18,,11.57836914,8.5399189
100,5.034333229,4.864405632,,12.18276024,12.67096519,12.15578747,8.151402,2.492398262,9.681253433,4.517145634,8.18,,11.59708023,8.630039215
100.5,5.041750908,4.867102623,,12.18478298,12.67366219,12.17466831,8.180774,2.555212498,9.681921959,4.520486832,8.22,,11.61378479,8.722162247
101,5.059283257,4.867777348,,12.18680573,12.67703438,12.17803955,8.213484,2.616021633,9.685263634,4.522491455,8.26,,11.63115883,8.807609558
101.5,5.068723679,4.868451595,,12.18882942,12.67973137,12.1807375,8.24486,2.669480324,9.685932159,4.525164604,8.28,,11.64586067,8.894392014
102,5.066026211,4.870474815,,12.18882942,12.68377686,12.18748093,8.270894,2.700887203,9.687268257,4.526500702,8.31,,11.66056252,8.968490601
102.5,5.062654495,4.871149063,,12.19152641,12.6878233,12.19287491,8.302269,2.722938538,9.686599731,4.528505802,8.33,,11.67392635,9.041921616
103,5.059283257,4.871149063,,12.19220066,12.68984604,12.1975956,8.334979,2.7463274,9.687268257,4.529842377,8.36,,11.68595409,9.114017487
103.5,5.055911541,4.875868797,,12.19220066,12.69119453,12.20433807,8.365686,2.763701439,9.686599731,4.533851624,8.36,,11.69865131,9.172095299
104,5.055911541,4.87924099,,12.1955719,12.69389153,12.20298958,8.393057,2.786421299,9.6979599,4.535187721,8.38,,11.71201515,9.25420475
104.5,5.057934284,4.882612228,,12.1955719,12.69591522,12.20771027,8.428437,2.803795338,9.700633049,4.53786087,8.40,,11.72270775,9.305606842
105,5.057934284,4.887332439,,12.20298958,12.69658852,12.21512794,8.457142,2.81448698,9.707315445,4.544543266,8.43,,11.73072624,9.364351273
105.5,5.057934284,4.892726898,,12.20771027,12.69726372,12.22052193,8.48518,2.836538792,9.709320068,4.548552513,8.45,,11.73807621,9.408411026
106,5.057260036,4.897447109,,12.21647644,12.69793701,12.22254562,8.514552,2.850571632,9.711324692,4.553898811,8.44,,11.74676323,9.457809448
106.5,5.056585789,4.900144577,,12.22119617,12.69928646,12.22389412,8.539919,2.861931324,9.720011711,4.556571484,8.45,,11.7581234,9.50253582
107,5.055911541,4.90216732,,12.22321892,12.70198441,12.22591591,8.562616,2.873959541,9.721347809,4.56058073,8.47,,11.76413727,9.537916183
107.5,5.055237293,4.902841568,,12.22389412,12.7033329,12.22793961,8.589318,2.888660908,9.722016335,4.565926552,8.49,,11.77148819,9.577970505
108,5.054562569,4.904190063,,12.22456741,12.70805264,12.23265934,8.612683,2.894674778,9.727361679,4.569936275,8.51,,11.77883911,9.610013008
108.5,5.053888321,4.906213284,,12.22524261,12.71074963,12.23535728,8.636047,2.902693748,9.728030205,4.573277473,8.53,,11.78351593,9.64806366
109,5.053888321,4.908910751,,12.23333359,12.71344757,12.24007702,8.65741,2.910712481,9.728030205,4.575282097,8.55,,11.78953171,9.680773735
109.5,5.058608532,4.91228199,,12.22861385,12.71546936,12.24479675,8.680106,2.917394876,9.72869873,4.57728672,8.55,,11.79621315,9.709478378
110,5.055911541,4.914979458,,12.23468208,12.71749306,12.24682045,8.700132,2.924077034,9.727361679,4.578623295,8.57,,11.80289555,9.728170395
110.5,5.054562569,4.917002201,,12.23872852,12.7195158,12.24816895,8.72283,2.928754807,9.72869873,4.579291344,8.58,,11.80890942,9.756207466
111,5.052539825,4.921048164,,12.24075127,12.73704815,12.25221443,8.743525,2.934100628,9.732707977,4.581295967,8.60,,11.81559181,9.774230957
111.5,5.047819614,4.92441988,,12.24412251,12.72625923,12.25491142,8.764886,2.938109875,9.73137188,4.583300591,8.61,,11.82361031,9.797595978
112,5.042425156,4.927117348,,12.25019169,12.72828197,12.26030731,8.784245,2.944792509,9.73137188,4.585305691,8.61,,11.8289566,9.810947418
112.5,5.037030697,4.931162834,,12.25558662,12.73232841,12.26570129,8.804272,2.955483913,9.742063522,4.586642265,8.62,,11.83497047,9.829639435
113,5.032310486,4.933860302,,12.26030731,12.73367691,12.26704979,8.823631,2.975531101,9.738721848,4.587310314,8.64,,11.84365749,9.846327782
113.5,5.022870064,4.933185577,,12.26502705,12.73569965,12.26637459,8.839652,2.995578051,9.744068146,4.587310314,8.66,,11.84633064,9.865686417
114,5.01680088,4.931837082,,12.26704979,12.7363739,12.26772404,8.856341,3.017629862,9.750082016,4.589982986,8.66,,11.84967136,9.887716293
114.5,5.011406898,4.931837082,,12.26839828,12.7377224,12.26839828,8.871695,3.053046227,9.752755165,4.59399271,8.66,,11.85368061,9.903738022
115,5.008709431,4.933185577,,12.26974678,12.7383976,12.26772404,8.887716,3.11118269,9.752086639,4.598001957,8.68,,11.85635376,9.927102089
115.5,4.999943256,4.939929008,,12.27109528,12.73907089,12.27514172,8.903738,3.211417675,9.753423691,4.599338531,8.68,,11.85902786,9.947128296
116,4.995223045,4.945997715,,12.27446747,,12.28795338,8.914418,3.335709095,9.763446808,4.60000658,8.70,,11.86236858,9.963150024
116.5,4.989154339,4.948020935,,12.27514172,,12.29267311,8.923097,3.492743731,9.764782906,4.602011681,8.72,,11.8657093,9.990520477
117,4.987805367,4.955438614,,12.27783966,,12.29671955,8.937116,3.670493841,9.762109756,4.605352402,8.72,,11.8683815,10.00921154
117.5,4.985782623,4.966901779,,12.2805357,,12.30750847,8.947796,3.886333466,9.76812458,4.608694077,8.74,,11.87038612,10.03257561
118,4.977016449,4.976342201,,12.28188515,,12.31020546,8.955807,4.132911682,9.770129204,4.6106987,8.76,,11.8737278,10.04859734
118.5,4.970273018,4.986456871,,12.2791872,,12.31627464,8.963818,4.402209282,9.770797729,4.613371372,8.77,,11.8764019,10.07796955
119,4.964204311,4.993200302,,12.28727913,,12.32436657,8.975834,4.702914715,9.773469925,4.616044521,8.78,,11.8790741,10.09198856
119.5,4.956787109,4.997920036,,12.28862762,,12.33111,8.98518,5.010302067,9.772133827,4.616044521,8.78,,11.88174629,10.12403107
120,4.960833073,4.999943256,,,,12.33380699,8.995193,5.298310757,9.773469925,4.61671257,8.79,,11.88508797,10.15140152
120.5,4.96959877,5.006011963,,,,12.33852768,9.000533,5.572286606,9.776143074,4.617381096,8.79,,11.88776016,10.19078732
121,4.978364944,5.008709431,,,,12.34257317,9.009212,5.827551842,9.778147697,4.618048668,8.79,,11.88909721,10.2328434
121.5,4.995897293,5.008034706,,,,12.3459444,9.019893,6.072793007,9.78282547,4.619385719,8.80,,11.89176941,10.26955891
122,5.010057926,5.008034706,,,,12.35066414,9.027903,6.316698551,,4.621390343,8.80,,11.89444256,10.31695557
122.5,5.026241302,5.008709431,,,,12.35133934,9.036581,6.561272144,,4.624731541,8.82,,11.89778328,10.37369728
123,5.050517082,5.010057926,,,,12.35403633,9.041922,6.809186459,,4.628072739,8.83,,11.90045738,10.42509937
123.5,5.066700459,5.011406898,,,,12.35943127,9.04793,7.052423477,,4.630745411,8.84,,11.90313053,10.48117447
124,5.080186844,5.015452385,,,,12.36482525,9.055941,7.301674843,,4.632750034,8.82,,11.90647125,10.53457832
124.5,5.095021725,5.019498348,,,,12.3661747,9.065954,7.552262306,,4.636091232,8.87,,11.90914345,10.59132099
125,5.111879826,5.024892807,,,,12.36819649,9.074633,7.789484978,,4.638764381,8.86,,11.9118166,10.63337708
125.5,5.129411697,5.031636238,,,,12.37628937,9.081975,8.03071785,,4.640100479,8.87,,11.9144907,10.67943859
126,5.148292542,5.035682201,,,,12.37898636,9.085313,8.258584976,,4.642105579,8.87,,11.91783142,10.71815681
126.5,5.167173386,5.037704945,,,,12.38438034,9.090653,8.465068817,,4.644778252,8.88,,11.9211731,10.76154804
127,5.182008743,5.043099403,,,,12.38572884,9.097329,8.658856392,,4.649456024,8.89,,11.92584991,10.79158783
127.5,5.193471909,5.04916811,,,,12.38707733,9.103337,8.839948654,,4.654133797,8.91,,11.92985916,10.82496548
128,5.205609798,5.053214073,,,,12.38977528,9.109345,9.002996445,,4.656806946,8.90,,11.93186474,10.85767555
128.5,5.214375496,5.057934284,,,,12.39449501,9.11602,9.152012825,,4.660147667,8.93,,11.93520546,10.89305687
129,5.221793175,5.063328743,,,,12.39584446,9.120693,9.293010712,,4.664156914,8.93,,11.93854713,10.92576694
129.5,5.228536606,5.074118137,,,,12.3978672,9.125366,9.429329872,,4.665493965,8.92,,11.94188786,10.96248245
130,5.239325523,5.078164101,,,,12.3985405,9.127369,9.556294441,,4.667498589,8.93,,11.94589806,10.99719524
130.5,5.24741745,5.082883835,,,,12.40056419,9.130707,9.661207199,,4.670171261,8.93,,11.95124245,11.03391075
131,5.248765945,5.085581303,,,,12.40663338,9.134045,9.757432938,,4.672175884,8.93,,11.95458412,11.07062721
131.5,5.254160404,5.090301514,,,,12.41337585,9.140053,9.856330872,,4.672843933,8.93,,11.95926189,11.10667419
132,5.256183624,5.095021725,,,,12.41674805,9.144058,9.948547363,,4.672843933,8.93,,11.96460724,11.14672852
132.5,5.256857872,5.099067688,,,,12.41742229,9.148731,10.04544067,,4.675517082,8.55,,11.97062302,11.1827755
133,5.261578083,5.107159615,,,,12.41742229,9.152069,10.14567661,,4.676853657,,,11.97463036,11.22550011
133.5,5.26764679,5.115925789,,,,12.42012024,9.156742,10.24657917,,4.677521706,,,11.97930908,11.2708931
134,5.277761459,5.119971275,,,,12.42012024,9.162083,10.34213638,,4.679526329,,,11.98398685,11.30160141
134.5,5.29259634,5.124691963,,,,12.42146873,9.166087,10.4336853,,4.681530952,,,11.9893322,11.33497906
135,5.307431221,5.128063202,,,,12.42618847,9.169425,10.53659248,,4.684872627,,,11.9946785,11.36234856
135.5,5.322940826,5.130086422,,,,12.42686272,9.171428,10.63215065,,4.689549923,,,11.99868774,11.40040016
136,5.345867634,5.134806633,,,,12.43023396,9.174766,10.72503471,,4.69556427,,,12.00470161,11.47783661
136.5,5.385652065,5.139526367,,,,12.42955971,9.179439,10.80655861,,4.697568893,,,12.01606178,11.54926491
137,5.420042038,5.141549587,,,,12.4329319,9.184112,10.88206959,,4.698904991,,,12.01806641,11.60600758
137.5,5.446340561,5.147618294,,,,12.43495369,9.191455,10.94956112,,4.699573517,,,12.02274513,11.74886417
138,5.473313332,5.150990009,,,,12.43495369,9.195459,11.01772118,,4.700242043,,,12.02808952,11.82696915
138.5,5.495565414,5.154361725,,,,12.43562889,9.202135,11.06984329,,4.70157814,,,12.03410339,11.87102699
139,5.515120983,5.157732964,,,,12.43697739,9.207476,11.12330151,,4.704919338,,,12.04078579,11.90841103
139.5,,5.161778927,,,,12.43832588,9.212149,11.17275143,,4.708929062,,,12.04746914,11.94445801
140,,5.16582489,,,,12.43900108,9.216154,11.22086334,,4.712269783,,,12.05415154,11.97516632
140.5,,5.167847633,,,,12.43967438,9.22283,11.26363087,,4.71627903,,,12.06083393,12.00120068
141,,5.170545101,,,,12.44034958,9.230173,11.30238914,,4.718283653,,,12.06684685,12.02323055
141.5,,5.17593956,,,,12.44034958,9.236181,11.33780479,,4.719620705,,,12.07419777,12.05460548
142,,5.182682991,,,,12.44102287,9.244859,11.37388992,,4.720288754,,,12.08088112,12.08063889
142.5,,5.187403202,,,,12.44102287,9.25554,11.40395927,,4.721625328,,,12.08823109,12.10800934
143,,5.190100193,,,,12.44574356,9.256875,11.43068981,,4.722961426,,,12.09558201,12.13604736
143.5,,5.190774918,,,,12.45248604,9.26088,11.46142769,,4.723629951,,,12.1022644,12.15941143
144,,5.189426422,,,,12.45518398,9.268224,11.48414803,,4.726303101,,,12.10694122,12.18678093
144.5,,5.185379982,,,,12.4646244,9.274231,11.51154518,,4.728975773,,,12.11228752,12.20747566
145,,5.183357239,,,,12.47271633,9.278905,11.53426552,,4.730312347,,,12.11696529,12.22750282
145.5,,5.182682991,,,,12.47608757,9.282242,11.55431175,,4.731648445,,,12.12231064,12.24085426
146,,5.184705734,,,,12.48215675,9.288918,11.57569599,,4.733653069,,,12.12698936,12.25620651
146.5,,5.190774918,,,,12.482831,9.292923,11.59574318,,4.736326218,,,12.13166618,12.26955795
147,,5.197517872,,,,12.48148155,9.296261,11.61311722,,4.738999367,,,12.13701248,12.2755661
147.5,,5.206958294,,,,12.482831,9.298931,11.6345005,,4.740335464,,,12.14369392,12.2875824
148,,5.216398716,,,,12.48485374,9.301601,11.64986992,,4.741672516,,,12.14770412,12.29959869
148.5,,5.22516489,,,,12.482831,9.30761,11.66924858,,4.743008614,,,12.15505409,12.31094742
149,,5.229885101,,,,12.48350525,9.31295,11.68328094,,4.746349812,,,12.16240501,12.31695557
149.5,,5.236628056,,,,12.48350525,9.316956,11.69597816,,4.74969101,,,12.16841888,12.32296276
150,,5.246743202,,,,12.48485374,9.320961,11.7133522,,4.751027107,,,12.1730957,12.33097363
150.5,,5.249440193,,,,,9.323631,11.72537994,,4.753032207,,,12.17777443,12.33965111
151,,5.254160404,,,,,9.326302,11.73874474,,4.75570488,,,12.18646145,12.34899807
151.5,,5.25753212,,,,,9.330974,11.75344658,,4.759046555,,,12.18779755,12.35700798
152,,5.262926579,,,,,9.334311,11.76681042,,4.762387276,,,12.1891346,12.36168098
152.5,,5.268321037,,,,,9.336982,11.77616501,,4.764391899,,,12.19247532,12.36635399
153,,5.271692753,,,,,9.339652,11.79086685,,4.765060425,,,12.19581604,12.37369728
153.5,,5.276412964,,,,,9.341655,11.80289555,,4.77441597,,,12.19982624,12.37837029
154,,,,,,,9.34299,11.81091309,,4.78042984,,,12.20383644,12.38304329
154.5,,,,,,,9.344993,11.81960106,,4.783102989,,,12.20851326,12.38838387
155,,,,,,,9.347663,11.83096123,,4.785775661,,,12.21118641,12.39439201
155.5,,,,,,,9.351668,11.84098434,,4.788448334,,,12.21452713,12.39973164
156,,,,,,,9.354339,11.85234451,,4.791121483,,,12.21720028,12.4030695
156.5,,,,,,,9.357009,11.85702133,,4.79513073,,,12.220541,12.40707493
157,,,,,,,9.360347,11.8670454,,4.797803879,,,12.22521782,12.41308403
157.5,,,,,,,9.363684,11.87773705,,4.799808502,,,12.22789192,12.41842365
158,,,,,,,9.366354,11.88575649,,4.799808502,,,,12.42443085
158.5,,,,,,,9.369024,11.89310646,,4.799808502,,,,12.42843723
159,,,,,,,9.37303,11.89778328,,4.801813126,,,,12.435112
159.5,,,,,,,9.3757,11.90446663,,4.802481651,,,,12.44045258
160,,,,,,,,11.91315365,,4.804486275,,,,12.44445801
160.5,,,,,,,,11.9211731,,4.805822372,,,,12.4471283
161,,,,,,,,11.92919159,,4.807826996,,,,12.45113373
161.5,,,,,,,,11.93587399,,4.81183672,,,,12.45313644
162,,,,,,,,11.94055176,,4.814509392,,,,12.45780945
162.5,,,,,,,,11.9472332,,4.815845966,,,,12.46114731
163,,,,,,,,11.95658875,,4.816514015,,,,12.46715546
163.5,,,,,,,,11.96527576,,4.817182541,,,,12.47049236
164,,,,,,,,11.97396278,,4.817851067,,,,12.47449875
164.5,,,,,,,,11.98064613,,4.818519115,,,,12.47983932
165,,,,,,,,11.98532295,,4.81985569,,,,12.48317719
165.5,,,,,,,,11.99400997,,4.820523739,,,,12.48651505
166,,,,,,,,12.00269699,,4.821191788,,,,12.48918533
166.5,,,,,,,,12.01004791,,4.821860313,,,,12.4911871
167,,,,,,,,12.02274513,,4.823196411,,,,12.49319077
167.5,,,,,,,,12.0260849,,4.823864937,,,,12.49652863
168,,,,,,,,12.0300951,,4.824532986,,,,12.50053215
168.5,,,,,,,,12.03878212,,4.825201511,,,,12.50320435
169,,,,,,,,12.04613304,,4.825201511,,,,12.50654125
169.5,,,,,,,,12.05147743,,4.82586956,,,,12.50987911
170,,,,,,,,12.05949688,,4.827874184,,,,12.51188087
170.5,,,,,,,,12.06350708,,4.836561203,,,,12.51455116
171,,,,,,,,12.06751633,,4.84257555,,,,12.51788902
171.5,,,,,,,,12.07085705,,4.847252846,,,,12.52189445
172,,,,,,,,12.07753944,,4.85928154,,,,12.52456474
172.5,,,,,,,,12.08422089,,4.868636608,,,,12.52589989
173,,,,,,,,12.09157181,,4.875319004,,,,12.52857018
173.5,,,,,,,,12.09825516,,4.882669449,,,,12.52990532
174,,,,,,,,12.10426903,,4.886678696,,,,12.53124046
174.5,,,,,,,,12.10894585,,4.888683319,,,,12.53257561
175,,,,,,,,12.11228752,,4.89002037,,,,12.53457832
175.5,,,,,,,,12.1156292,,4.89002037,,,,12.53724861
176,,,,,,,,12.12231064,,4.890687943,,,,12.54058647
176.5,,,,,,,,12.12698936,,4.891356468,,,,12.5445919
177,,,,,,,,12.13300323,,4.894029617,,,,12.54726219
177.5,,,,,,,,12.13634396,,4.895365715,,,,12.55126762
178,,,,,,,,12.1403532,,4.89870739,,,,12.55260277
178.5,,,,,,,,12.14503098,,4.901380062,,,,12.55393791
179,,,,,,,,12.14770412,,4.903384686,,,,12.55594063
179.5,,,,,,,,12.15037727,,4.908730507,,,,12.55861092
180,,,,,,,,12.15238094,,4.912739754,,,,12.56261635